*.txt,Time Gravimetry [s],CO2 Density [g/mL],Sample Density [g/mL]
49800.0334,10182,0.001695112,0.984926618
50100.0334,10182,0.001695112,0.984926618
50400.0334,10182,0.001695112,0.984926618
50700.0334,10182,0.001695112,0.984926618
51000.0334,10182,0.001695112,0.984926618
51300.0334,10182,0.001695112,0.984926618
51600.0334,10182,0.001695112,0.984926618
51900.0334,10182,0.001695112,0.984926618
52200.0334,10182,0.001695112,0.984926618
52500.0334,10182,0.001695112,0.984926618
52800.0334,10182,0.001695112,0.984926618
53100.0334,10182,0.001695112,0.984926618
53400.0334,10182,0.001695112,0.984926618
53700.0334,10182,0.001695112,0.984926618
54000.0334,10182,0.001695112,0.984926618
54300.0334,10182,0.001695112,0.984926618
54600.0334,10182,0.001695112,0.984926618
54900.0334,10182,0.001695112,0.984926618
55200.0334,10182,0.001695112,0.984926618
55500.0334,10182,0.001695112,0.984926618
55800.0334,10182,0.001695112,0.984926618
56100.0334,10182,0.001695112,0.984926618
56400.0334,10182,0.001695112,0.984926618
56700.0334,10182,0.001695112,0.984926618
57000.0334,10182,0.001695112,0.984926618
57300.0334,10182,0.001695112,0.984926618
57600.0334,10182,0.001695112,0.984926618
57900.0334,10182,0.001695112,0.984926618
58200.0334,10182,0.001695112,0.984926618
58500.0334,10182,0.001695112,0.984926618
58800.0334,10182,0.001695112,0.984926618
59100.0334,10182,0.001695112,0.984926618
59400.0334,10182,0.001695112,0.984926618
59700.0334,10182,0.001695112,0.984926618
60000.0334,10182,0.001695112,0.984926618
60300.0334,10182,0.001695112,0.984926618
60600.0334,10182,0.001695112,0.984926618
60900.0334,10182,0.001695112,0.984926618
61200.0334,10182,0.001695112,0.984926618
61500.0334,10182,0.001695112,0.984926618
61800.0334,10182,0.001695112,0.984926618
62100.0334,10182,0.001695112,0.984926618
62400.0334,10182,0.001695112,0.984926618
62700.0334,10182,0.001695112,0.984926618
63000.0334,10182,0.001695112,0.984926618
63300.0334,10182,0.001695112,0.984926618
63600.0334,10182,0.001695112,0.984926618
63900.0334,10182,0.001695112,0.984926618
64200.0334,10182,0.001695112,0.984926618
64500.0334,10182,0.001695112,0.984926618
64800.0334,10182,0.001695112,0.984926618
65100.0334,10182,0.001695112,0.984926618
65400.0334,10182,0.001695112,0.984926618
65700.0334,10182,0.001695112,0.984926618
66000.0334,10182,0.001695112,0.984926618
66300.0334,10182,0.001695112,0.984926618
66600.0334,10182,0.001695112,0.984926618
66900.0334,10182,0.001695112,0.984926618
