Run,Graph,Index,Y_Axis          Y2_Axis,Data,Data,Data,Data,Data,Data,Data,Data,Data
Secs,Secs,,PndVol,PndVol,PndArea,TipWdth,WetTipW,Contrst,Sharp,Black,White,Edge
59101.1333,59100.0333,199,4.431,4.431,10.878,2.0786,2.038,255,211,0,255,105
59401.1333,59400.0333,200,4.439,4.439,10.893,2.079,2.038,255,214,0,255,105
59701.1333,59700.0333,201,4.43,4.43,10.876,2.0787,2.038,255,210,0,255,105
60001.1333,60000.0333,202,4.429,4.429,10.874,2.0789,2.038,255,210,0,255,105
60301.1333,60300.0333,203,4.428,4.428,10.872,2.0785,2.038,255,211,0,255,105
60601.1333,60600.0333,204,4.428,4.428,10.873,2.0786,2.038,255,215,0,255,105
60901.1333,60900.0333,205,4.441,4.441,10.895,2.0799,2.038,255,212,0,255,105
61201.1333,61200.0333,206,4.439,4.439,10.893,2.0787,2.038,255,213,0,255,105
61501.1333,61500.0333,207,4.431,4.431,10.877,2.0785,2.038,255,212,0,255,105
61801.1333,61800.0333,208,4.424,4.424,10.864,2.0785,2.038,255,212,0,255,105
62101.1333,62100.0333,209,4.436,4.436,10.886,2.0789,2.038,255,210,0,255,105
62401.1333,62400.0333,210,4.433,4.433,10.881,2.0789,2.038,255,228,0,255,105
62701.1333,62700.0333,211,4.435,4.435,10.884,2.079,2.038,255,229,0,255,105
63001.1333,63000.0333,212,4.441,4.441,10.897,2.079,2.038,255,210,0,255,105
63301.1333,63300.0333,213,4.432,4.432,10.879,2.0788,2.038,255,211,0,255,105
63601.1333,63600.0333,214,4.427,4.427,10.871,2.0783,2.038,255,213,0,255,105
63901.1333,63900.0333,215,4.433,4.433,10.881,2.0783,2.038,255,226,0,255,105
64201.1333,64200.0333,216,4.44,4.44,10.892,2.0796,2.038,255,227,0,255,105
64501.1333,64500.0333,217,4.43,4.43,10.878,2.0784,2.038,255,210,0,255,105
64801.1333,64800.0333,218,4.436,4.436,10.885,2.079,2.038,255,212,0,255,105
65101.1333,65100.0333,219,4.438,4.438,10.891,2.0784,2.038,255,212,0,255,105
65401.1333,65400.0333,220,4.437,4.437,10.889,2.0785,2.038,255,211,0,255,105
65701.1333,65700.0333,221,4.438,4.438,10.891,2.0789,2.038,255,212,0,255,105
66001.1333,66000.0333,222,4.441,4.441,10.896,2.0789,2.038,255,209,0,255,105
