Run,Graph,Index,Y_Axis          Y2_Axis,Data,Data,Data,Data,Data,Data,Data,Data,Data            Data            Data            Data            Data            Data            Data            Data            Data,Run,Graph,Index,Y_Axis          Y2_Axis,Data,Data,Data,Data,Data,Data,Data,Data,Data
Secs,Secs,,PndVol,PndVol,PndArea,TipWdth,WetTipW,Contrst,Sharp,Black,White,Edge            IFT             Diam            LYb             LYBeta          LYErr           ApexX           ApexY           A.R.,Secs,Secs,,PndVol,PndVol,PndArea,TipWdth,WetTipW,Contrst,Sharp,Black,White,Edge
17401.1667,17400.0334,60,4.398,4.398,10.788,2.071,2.038,255,225,0,255,105,17401.1667,17400.0334,60,4.398,4.398,10.788,2.071,2.038,255,225,0,255,105
17701.1667,17700.0334,61,4.412,4.412,10.816,2.0713,2.038,255,231,0,255,105,17701.1667,17700.0334,61,4.412,4.412,10.816,2.0713,2.038,255,231,0,255,105
18001.1667,18000.0334,62,4.356,4.356,10.739,2.0712,2.038,255,217,0,255,105,18001.1667,18000.0334,62,4.356,4.356,10.739,2.0712,2.038,255,217,0,255,105
18301.1667,18300.0334,63,4.417,4.417,10.825,2.0711,2.038,255,203,0,255,105,18301.1667,18300.0334,63,4.417,4.417,10.825,2.0711,2.038,255,203,0,255,105
18601.1667,18600.0334,64,4.421,4.421,10.834,2.071,2.038,255,223,0,255,105,18601.1667,18600.0334,64,4.421,4.421,10.834,2.071,2.038,255,223,0,255,105
18901.1667,18900.0334,65,4.422,4.422,10.833,2.0714,2.038,255,206,0,255,105,18901.1667,18900.0334,65,4.422,4.422,10.833,2.0714,2.038,255,206,0,255,105
19201.1667,19200.0334,66,4.383,4.383,10.782,2.0712,2.038,255,206,0,255,105,19201.1667,19200.0334,66,4.383,4.383,10.782,2.0712,2.038,255,206,0,255,105
19501.1667,19500.0334,67,4.413,4.413,10.818,2.0712,2.038,255,235,0,255,105,19501.1667,19500.0334,67,4.413,4.413,10.818,2.0712,2.038,255,235,0,255,105
19801.1667,19800.0334,68,4.387,4.387,10.796,2.0713,2.038,255,207,0,255,105,19801.1667,19800.0334,68,4.387,4.387,10.796,2.0713,2.038,255,207,0,255,105
20101.1667,20100.0334,69,4.415,4.415,10.822,2.0709,2.038,255,230,0,255,105,20101.1667,20100.0334,69,4.415,4.415,10.822,2.0709,2.038,255,230,0,255,105
20401.1667,20400.0334,70,4.416,4.416,10.823,2.0708,2.038,255,234,0,255,105,20401.1667,20400.0334,70,4.416,4.416,10.823,2.0708,2.038,255,234,0,255,105
