Run,Graph,Index,Y_Axis          Y2_Axis,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data            Data
Secs,Secs,,PndVol,IFT,PndVol,PndArea,TipWdth,WetTipW,Diam,LYb,LYBeta,LYErr,ApexX,ApexY,Contrst,Sharp,Black,White,Edge            Dist
64201.1333,64200.0333,109,4.006,11.55,4.006,10.174,2.0757,2.0698,1.9879,0.8447,-0.6053,3.67E-03,2.27E+00,3.2329,237,173,18,255,116
64801.1333,64800.0333,110,4.006,11.53,4.006,10.172,2.0757,2.073,1.9882,0.8443,-0.6058,3.75E-03,2.27E+00,3.2418,237,173,18,255,116
65401.1333,65400.0333,111,4.01,11.56,4.01,10.178,2.0751,2.07,1.99,0.8449,-0.6052,3.87E-03,2.27E+00,3.2424,237,171,18,255,116
66001.1333,66000.0333,112,3.942,9.823,3.942,10.046,2.0835,2.0677,1.9869,0.8421,-0.6085,4.67E-03,2.27E+00,3.2499,233,172,22,255,118
66601.1333,66600.0333,113,4.013,9.828,4.013,10.19,2.0842,2.0738,1.9878,0.842,-0.608,4.49E-03,2.27E+00,3.2481,237,172,18,255,116
67201.1333,67200.0333,114,3.84,9.804,3.84,9.8387,2.0831,2.0669,1.9878,0.8422,-0.6097,4.76E-03,2.27E+00,3.2493,239,170,16,255,115
67801.1333,67800.0333,115,3.86,9.792,3.86,9.8795,2.0832,2.0658,1.9874,0.8419,-0.61,4.81E-03,2.27E+00,3.2478,235,179,20,255,117
68401.1333,68400.0333,116,3.944,9.802,3.944,10.051,2.0843,2.0743,1.9865,0.8417,-0.6091,4.97E-03,2.27E+00,3.2505,235,168,20,255,117
69001.1333,69000.0333,117,4.034,11.57,4.034,10.226,2.0747,2.0728,1.9898,0.8453,-0.6051,3.68E-03,2.27E+00,3.2576,237,174,18,255,116
69601.1333,69600.0333,118,3.784,11.44,3.784,9.7222,2.0754,2.0708,1.9897,0.8432,-0.6091,4.21E-03,2.27E+00,3.2532,235,174,20,255,117
70201.1333,70200.0333,119,3.847,11.48,3.847,9.8495,2.0749,2.0737,1.9894,0.8438,-0.608,4.16E-03,2.27E+00,3.2573,238,172,17,255,115
70801.1333,70800.0333,120,4.104,9.829,4.104,10.386,2.0851,2.0786,2.0129,0.842,-0.6079,4.50E-03,2.27E+00,3.2605,237,169,18,255,116
71401.1333,71400.0333,121,4.049,11.54,4.049,10.259,2.0743,2.0696,1.9942,0.8447,-0.6061,3.74E-03,2.27E+00,3.2639,236,172,19,255,116
72001.1333,72000.0333,122,4.052,11.71,4.052,10.264,2.0754,2.0728,1.9939,0.8472,-0.6005,4.27E-03,2.27E+00,3.2475,237,172,18,255,116
72601.1333,72600.0333,123,4.139,11.52,4.139,10.45,2.0749,2.0726,2.0175,0.8445,-0.6066,4.07E-03,2.28E+00,3.2593,241,171,14,255,113
73201.1333,73200.0333,124,4.053,11.53,4.053,10.264,2.0746,2.0706,1.9928,0.8446,-0.6062,4.12E-03,2.28E+00,3.2652,237,170,18,255,116
73801.1333,73800.0333,125,4.073,11.56,4.073,10.304,2.0748,2.0694,1.9984,0.845,-0.6055,3.74E-03,2.27E+00,3.2623,238,172,17,255,115
74401.1333,74400.0333,126,4.045,9.837,4.045,10.254,2.0843,2.075,1.9938,0.8424,-0.608,4.69E-03,2.27E+00,3.2578,238,172,17,255,115
75001.1333,75000.0333,127,3.707,11.4,3.707,9.571,2.1127,2.1018,1.9879,0.8424,-0.61,3.84E-03,2.27E+00,3.261,237,174,18,255,116
