Run,Graph,Index           Y_Axis          Y2_Axis,Data            Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data
Secs,Secs,Dist,Dist            IFT,PndVol,PndArea,TipWdth,WetTipW,Diam,LYb,LYBeta,LYErr,ApexX,ApexY,Contrst,Sharp,Black,White,Edge
49801.1333,49800.0333,85,20.72,3.755,9.5125,2.0581,2.0316,2.0867,0.9523,-0.4231,3.26E-03,2.272,2.5754,249,166,6,255,109
50401.1333,50400.0333,86,20.58,3.784,9.5683,2.0585,2.0402,2.0863,0.9517,-0.4254,3.02E-03,2.2679,2.5757,248,166,7,255,109
51001.1333,51000.0333,87,20.62,3.784,9.5711,2.0585,2.0487,2.087,0.952,-0.4249,3.15E-03,2.2718,2.5752,248,169,7,255,109
51601.1333,51600.0333,88,19.37,3.83,9.6547,2.0596,2.0402,2.0882,0.9473,-0.4431,3.16E-03,2.2697,2.6166,248,167,7,255,109
52201.1333,52200.0333,89,19.37,3.87,9.7318,2.06,2.0402,2.0892,0.9476,-0.4433,3.81E-03,2.2761,2.6113,249,168,6,255,109
52801.1333,52800.0333,90,19.36,3.835,9.6636,2.0601,2.0402,2.0895,0.9476,-0.4436,3.27E-03,2.2776,2.6172,247,166,8,255,110
53401.1333,53400.0333,91,19.45,3.857,9.7055,2.0603,2.0402,2.0892,0.9482,-0.442,3.26E-03,2.2771,2.6239,246,169,9,255,110
54001.1333,54000.0333,92,19.48,3.858,9.7068,2.0608,2.0402,2.0895,0.9484,-0.4416,3.34E-03,2.2804,2.6236,247,169,8,255,110
54601.1333,54600.0333,93,19.47,3.844,9.6818,2.0608,2.0402,2.0893,0.9482,-0.4416,3.10E-03,2.2768,2.6363,245,164,10,255,111
55201.1333,55200.0333,94,19.47,3.847,9.6878,2.0611,2.0402,2.0891,0.9483,-0.4417,3.21E-03,2.282,2.629,245,169,10,255,111
55801.1333,55800.0333,95,19.48,3.859,9.7111,2.0609,2.0402,2.0899,0.9485,-0.4416,3.31E-03,2.2823,2.6322,247,165,8,255,110
56401.1333,56400.0333,96,19.42,3.853,9.6992,2.0611,2.0487,2.0898,0.9482,-0.4428,3.11E-03,2.2787,2.6384,249,168,6,255,109
57001.1333,57000.0333,97,19.47,3.845,9.6833,2.0608,2.0487,2.0896,0.9484,-0.4418,3.15E-03,2.2831,2.6367,245,165,10,255,111
57601.1333,57600.0333,98,19.46,3.858,9.7065,2.0611,2.0487,2.0897,0.9484,-0.442,3.01E-03,2.2797,2.6404,247,168,8,255,110
58201.1333,58200.0333,99,19.52,3.829,9.6489,2.0611,2.0573,2.0894,0.9487,-0.441,3.50E-03,2.281,2.6487,245,165,10,255,111
58801.1333,58800.0333,100,19.39,3.852,9.6946,2.0614,2.0316,2.0897,0.9481,-0.4432,3.06E-03,2.2808,2.6468,245,168,10,255,111
59401.1333,59400.0333,101,19.55,3.856,9.7029,2.0611,2.0402,2.0898,0.949,-0.4405,3.15E-03,2.2839,2.6481,246,166,9,255,110
60001.1333,60000.0333,102,19.44,3.839,9.6705,2.0614,2.0316,2.0897,0.9483,-0.4423,3.21E-03,2.2824,2.6516,248,166,7,255,109
60601.1333,60600.0333,103,19.48,3.854,9.7007,2.0611,2.0487,2.0896,0.9485,-0.4417,3.08E-03,2.2818,2.6564,249,163,6,255,109
61201.1333,61200.0333,104,19.42,3.871,9.7331,2.0614,2.0487,2.09,0.9482,-0.4428,3.16E-03,2.2793,2.6612,249,168,6,255,109
61801.1333,61800.0333,105,19.43,3.878,9.7448,2.0612,2.0487,2.09,0.9484,-0.4426,2.94E-03,2.2793,2.6632,249,171,6,255,109
62401.1333,62400.0333,106,19.45,3.869,9.7295,2.0611,2.0487,2.0897,0.9484,-0.4423,3.44E-03,2.2809,2.6607,247,167,8,255,110
63001.1333,63000.0333,107,19.47,3.864,9.7184,2.0613,2.0487,2.0899,0.9486,-0.4418,3.40E-03,2.2799,2.6592,247,171,8,255,110
63601.1333,63600.0333,108,19.47,3.874,9.7377,2.0613,2.0487,2.0899,0.9486,-0.4418,3.13E-03,2.2796,2.6624,248,174,7,255,109
64201.1333,64200.0333,109,19.48,3.884,9.7587,2.0615,2.0487,2.0895,0.9486,-0.4418,3.26E-03,2.2828,2.6654,249,166,6,255,109
64801.1333,64800.0333,110,19.41,3.884,9.7591,2.0613,2.0487,2.0898,0.9482,-0.443,3.13E-03,2.2794,2.6651,247,168,8,255,110
65401.1333,65400.0333,111,19.39,3.885,9.7617,2.0614,2.0487,2.0898,0.948,-0.4433,3.31E-03,2.2795,2.6662,247,171,8,255,110
66001.1333,66000.0333,112,19.41,3.843,9.6794,2.0613,2.0573,2.0898,0.9481,-0.443,3.30E-03,2.2815,2.67,250,170,5,255,108
66601.1333,66600.0333,113,19.5,3.849,9.6882,2.0613,2.0573,2.0901,0.9487,-0.4415,3.00E-03,2.2797,2.6713,248,173,7,255,109
67201.1333,67200.0333,114,18.6,3.892,9.7735,2.062,2.0573,2.0881,0.9437,-0.4565,3.21E-03,2.2746,2.6883,249,169,6,255,109
67801.1333,67800.0333,115,18.13,3.94,9.8643,2.063,2.0487,2.0914,0.943,-0.4626,3.36E-03,2.2871,2.7015,245,170,10,255,111
68401.1333,68400.0333,116,18.16,3.918,9.8216,2.0635,2.0316,2.0917,0.9433,-0.4621,3.64E-03,2.2882,2.7112,247,170,8,255,110
69001.1333,69000.0333,117,18.12,3.934,9.8518,2.0637,2.0316,2.092,0.9431,-0.4629,3.62E-03,2.2919,2.7169,249,170,6,255,109
69601.1333,69600.0333,118,18.08,3.933,9.8468,2.0639,2.0402,2.0922,0.9429,-0.4639,3.55E-03,2.2893,2.7244,249,168,6,255,109
70201.1333,70200.0333,119,18.06,3.952,9.8863,2.0636,2.0402,2.0918,0.9428,-0.4642,3.67E-03,2.2905,2.7308,248,171,7,255,109
70801.1333,70800.0333,120,18.04,3.962,9.9046,2.0644,2.0402,2.0926,0.9428,-0.4647,3.54E-03,2.2918,2.7331,247,173,8,255,110
71401.1333,71400.0333,121,17.98,3.957,9.8956,2.0642,2.0402,2.0922,0.9423,-0.4658,3.90E-03,2.2936,2.7324,246,171,9,255,110
72001.1333,72000.0333,122,18.04,3.973,9.9266,2.0644,2.0402,2.0924,0.9427,-0.4648,4.12E-03,2.2933,2.7367,248,172,7,255,109
72601.1333,72600.0333,123,18.12,3.914,9.8117,2.0646,2.023,2.0927,0.9432,-0.4631,3.68E-03,2.2937,2.7448,247,171,8,255,110
73201.1333,73200.0333,124,18.13,3.919,9.8226,2.0644,2.0573,2.0923,0.9432,-0.4628,3.41E-03,2.2947,2.7373,249,172,6,255,109
73801.1333,73800.0333,125,18.06,3.936,9.8537,2.0645,2.0573,2.0923,0.943,-0.4644,3.50E-03,2.2946,2.751,247,173,8,255,110
74401.1333,74400.0333,126,17.93,3.924,9.8298,2.0642,2.0573,2.0916,0.942,-0.4669,3.76E-03,2.2944,2.748,249,165,6,255,109
