Run,Graph,Index,Y_Axis          Y2_Axis,Data            Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data,Data
Secs,Secs,,PndVol,IFT,PndVol,PndArea,TipWdth,WetTipW,Diam,LYb,LYBeta,LYErr,ApexX,ApexY,Contrst,Sharp,Black,White,Edge
73801.1333,73800.0333,125,4.677,23.81,4.677,11.255,2.0454,2.0334,2.14E+00,0.9836,-0.3982,2.72E-03,2.118,2.3741,255,180,0,255,105
74401.1333,74400.0333,126,4.699,23.81,4.699,11.309,2.0747,2.0677,2.14E+00,0.9826,-0.3974,2.75E-03,2.1118,2.3661,253,179,2,255,106
75001.1333,75000.0333,127,4.646,23.68,4.646,11.194,2.0456,2.0396,2.14E+00,0.983,-0.3999,3.09E-03,2.114,2.3816,255,180,0,255,105
75601.1333,75600.0333,128,4.574,23.56,4.574,11.045,2.0451,2.034,2.14E+00,0.9827,-0.4018,3.05E-03,2.1159,2.3751,255,180,0,255,105
76201.1333,76200.0333,129,4.67,23.68,4.67,11.243,2.0458,2.0385,2.14E+00,0.9829,-0.3998,2.93E-03,2.1187,2.3809,255,180,0,255,105
76801.1333,76800.0333,130,4.682,24.1,4.682,11.265,2.0452,2.0347,2.14E+00,0.985,-0.3945,2.90E-03,2.1193,2.3748,255,179,0,255,105
77401.1333,77400.0333,131,4.665,23.74,4.665,11.234,2.046,2.032,2.14E+00,0.9831,-0.399,2.89E-03,2.1191,2.3879,255,182,0,255,105
78001.1333,78000.0333,132,4.656,23.74,4.656,11.219,2.0731,2.0643,2.14E+00,0.983,-0.3989,3.76E-03,2.1181,2.3849,254,180,1,255,106
78601.1333,78600.0333,133,4.655,23.74,4.655,11.214,2.0458,2.0348,2.14E+00,0.9831,-0.3991,2.84E-03,2.1195,2.3844,255,177,0,255,105
79201.1333,79200.0333,134,4.674,23.53,4.674,11.254,2.0734,2.0673,2.14E+00,0.9817,-0.4015,3.26E-03,2.1176,2.3829,253,184,2,255,106
79801.1333,79800.0333,135,4.64,23.7,4.64,11.182,2.0456,2.0353,2.14E+00,0.9829,-0.3996,2.82E-03,2.1182,2.3882,255,176,0,255,105
80401.1333,80400.0333,136,4.694,23.87,4.694,11.292,2.0459,2.0362,2.14E+00,0.9837,-0.3973,2.71E-03,2.1225,2.3878,255,179,0,255,105
81001.1333,81000.0333,137,4.669,23.85,4.669,11.243,2.073,2.0639,2.14E+00,0.9834,-0.3974,2.64E-03,2.1205,2.3892,253,179,2,255,106
81601.1333,81600.0333,138,4.725,23.8,4.725,11.36,2.0733,2.07,2.14E+00,0.983,-0.3979,3.67E-03,2.1191,2.3906,252,177,3,255,107
82201.1333,82200.0333,139,4.595,23.75,4.595,11.094,2.0723,2.0643,2.14E+00,0.983,-0.3987,2.67E-03,2.1216,2.3913,250,172,5,255,108
82801.1333,82800.0333,140,4.641,24.05,4.641,11.188,2.0449,2.0332,2.14E+00,0.9845,-0.395,3.85E-03,2.125,2.3946,253,180,2,255,106
83401.1333,83400.0333,141,4.641,23.7,4.641,11.187,2.0719,2.0637,2.14E+00,0.9828,-0.3995,2.82E-03,2.1254,2.3974,251,169,4,255,108
84001.1333,84000.0333,142,4.6,23.89,4.6,11.102,2.0718,2.0643,2.14E+00,0.9837,-0.397,2.85E-03,2.126,2.4012,251,171,4,255,108
84601.1333,84600.0333,143,4.73,24.06,4.73,11.372,2.0722,2.0693,2.14E+00,0.9843,-0.3945,4.13E-03,2.124,2.3899,251,171,4,255,108
85201.1333,85200.0333,144,4.706,23.82,4.706,11.318,2.072,2.0651,2.14E+00,0.9833,-0.3978,2.64E-03,2.1239,2.3925,251,177,4,255,108
85801.1333,85800.0333,145,4.686,23.82,4.686,11.274,2.0448,2.0325,2.14E+00,0.9836,-0.398,2.86E-03,2.1258,2.3937,253,174,2,255,106
86401.1333,86400.0333,146,4.706,23.94,4.706,11.318,2.0718,2.0645,2.14E+00,0.9839,-0.3963,2.87E-03,2.1244,2.4003,251,179,4,255,108
87001.1333,87000.0333,147,4.71,23.82,4.71,11.325,2.0717,2.0638,2.14E+00,0.9834,-0.3979,2.78E-03,2.1242,2.4017,251,174,4,255,108
87601.1333,87600.0333,148,4.666,23.79,4.666,11.237,2.0457,2.0311,2.14E+00,0.9831,-0.3981,2.75E-03,2.1237,2.3969,250,174,5,255,108
88201.1333,88200.0333,149,4.626,23.46,4.626,11.16,2.0466,2.035,2.14E+00,0.9812,-0.4023,2.97E-03,2.1244,2.3939,251,174,4,255,108
88801.1333,88800.0333,150,4.686,23.69,4.686,11.279,2.046,2.0364,2.14E+00,0.9825,-0.3992,3.31E-03,2.1227,2.4042,249,178,6,255,109
89401.1333,89400.0333,151,4.6,23.64,4.6,11.106,2.0462,2.0341,2.14E+00,0.9823,-0.4,2.80E-03,2.125,2.4022,251,175,4,255,108
90001.1333,90000.0333,152,4.626,23.62,4.626,11.159,2.0462,2.0353,2.14E+00,0.9821,-0.4001,2.95E-03,2.1228,2.4022,251,176,4,255,108
90601.1333,90600.0333,153,4.662,23.7,4.662,11.231,2.0465,2.0371,2.14E+00,0.9824,-0.3991,3.01E-03,2.1214,2.3968,250,178,5,255,108
91201.1333,91200.0333,154,4.673,23.8,4.673,11.252,2.0458,2.0325,2.14E+00,0.9831,-0.3979,2.81E-03,2.1214,2.4075,251,177,4,255,108
91801.1333,91800.0333,155,4.609,23.63,4.609,11.122,2.0455,2.0313,2.14E+00,0.9825,-0.4003,3.47E-03,2.1254,2.4042,253,183,2,255,106
92401.1333,92400.0333,156,4.653,23.8,4.653,11.214,2.0466,2.0334,2.14E+00,0.9829,-0.3978,2.65E-03,2.1264,2.4016,251,177,4,255,108
93001.1333,93000.0333,157,4.684,23.72,4.684,11.275,2.0462,2.0348,2.14E+00,0.9826,-0.3989,2.87E-03,2.1224,2.4035,251,173,4,255,108
93601.1333,93600.0333,158,4.663,23.79,4.663,11.229,2.0453,2.0293,2.14E+00,0.9833,-0.3983,2.86E-03,2.1269,2.4037,251,181,4,255,108
