:************************
:    TREND DATA FILE
:************************
No.,DATE,TIME,TEMP4_PV,TEMP4_SV,Julabo_Ext_PV,Julabo_Int_PV,Julabo_SV,BALANCE POSITION,WEITGHT(g),Attention pressure gauge,Now Pressure(kPa),P1(kPa),P2(kPa),P3(kPa),P4(kPa),P5(Pa),P6(Pa),V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,TMP_START,P5_HV,C_PUMP,C1,C2,Julabo_CTRL
 60 ,07-01-2019,19:30:51,26.2,0.0,59.9,86.0,60.0,2.0,8.01899,P4,0.000,0.412,0.000,0.000,0.000,2.3E-4,2.7E+2,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,Ext_CTRL
 61 ,07-01-2019,19:31:21,26.1,0.0,59.9,86.0,60.0,2.0,8.01895,P4,0.000,0.000,0.000,0.000,0.000,2.5E-4,2.7E+2,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,Ext_CTRL
 62 ,07-01-2019,19:31:51,26.2,0.0,59.9,86.0,60.0,2.0,8.01890,P4,0.000,0.000,0.000,0.000,0.000,2.3E-4,2.7E+2,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,Ext_CTRL
 63 ,07-01-2019,19:32:21,26.1,0.0,59.9,86.0,60.0,2.0,8.01888,P4,0.000,0.000,0.000,0.000,0.000,2.2E-4,2.7E+2,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,Ext_CTRL
 64 ,07-01-2019,19:32:51,26.0,0.0,59.9,86.0,60.0,2.0,8.01886,P4,0.000,0.412,0.000,0.000,0.000,2.2E-4,2.7E+2,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,Ext_CTRL
 65 ,07-01-2019,19:33:21,26.2,0.0,59.9,86.0,60.0,2.0,8.01882,P4,0.000,0.000,0.000,0.000,0.000,2.2E-4,2.7E+2,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,Ext_CTRL
 66 ,07-01-2019,19:33:51,26.3,0.0,59.9,86.0,60.0,2.0,8.01878,P4,0.000,0.412,0.000,0.000,0.000,2.2E-4,2.7E+2,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,Ext_CTRL
 67 ,07-01-2019,19:34:21,26.0,0.0,59.9,86.0,60.0,2.0,8.01876,P4,0.000,0.412,0.000,0.000,0.000,2.1E-4,2.7E+2,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,Ext_CTRL
 68 ,07-01-2019,19:34:51,26.3,0.0,59.9,86.0,60.0,2.0,8.01872,P4,0.000,0.000,0.000,0.000,0.000,2.1E-4,2.7E+2,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,Ext_CTRL
 69 ,07-01-2019,19:35:21,26.0,0.0,59.9,86.0,60.0,2.0,8.01869,P4,0.000,0.412,0.000,0.000,0.000,2.2E-4,2.7E+2,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,Ext_CTRL
 70 ,07-01-2019,19:35:51,26.3,0.0,59.9,86.0,60.0,2.0,8.01866,P4,0.000,0.412,0.000,0.000,0.000,2.1E-4,2.7E+2,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,Ext_CTRL
 71 ,07-01-2019,19:36:21,26.2,0.0,59.9,86.0,60.0,2.0,8.01863,P4,0.000,-0.412,0.000,0.000,0.000,2.1E-4,2.7E+2,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,Ext_CTRL
 72 ,07-01-2019,19:36:51,25.9,0.0,59.9,86.0,60.0,2.0,8.01861,P4,0.000,0.000,-0.107,0.000,0.000,2.0E-4,2.7E+2,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,Ext_CTRL
 73 ,07-01-2019,19:37:21,25.9,0.0,59.9,86.0,60.0,2.0,8.01858,P4,0.000,0.412,0.000,0.000,0.000,2.0E-4,2.7E+2,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,Ext_CTRL
 74 ,07-01-2019,19:37:51,25.9,0.0,59.9,86.0,60.0,2.0,8.01855,P4,0.000,0.412,0.000,0.000,0.000,2.0E-4,2.7E+2,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,Ext_CTRL
 75 ,07-01-2019,19:38:21,25.8,0.0,59.9,86.0,60.0,2.0,8.01852,P4,0.000,0.412,0.000,0.000,0.000,2.0E-4,2.7E+2,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,Ext_CTRL
 76 ,07-01-2019,19:38:51,25.9,0.0,59.9,86.0,60.0,2.0,8.01851,P4,0.000,0.412,0.000,0.000,0.000,2.2E-4,2.7E+2,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,Ext_CTRL
 77 ,07-01-2019,19:39:21,25.7,0.0,59.9,86.0,60.0,2.0,8.01847,P4,0.000,0.000,-0.107,0.000,0.000,2.0E-4,2.7E+2,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,Ext_CTRL
 78 ,07-01-2019,19:39:51,25.8,0.0,59.9,86.0,60.0,2.0,8.01845,P4,0.000,0.412,0.000,0.000,0.000,1.9E-4,2.7E+2,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,Ext_CTRL
 79 ,07-01-2019,19:40:21,25.9,0.0,59.9,86.0,60.0,2.0,8.01842,P4,0.000,0.412,0.000,0.000,0.000,1.9E-4,2.7E+2,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,Ext_CTRL
 80 ,07-01-2019,19:40:51,25.8,0.0,59.9,86.0,60.0,2.0,8.01838,P4,0.000,0.412,0.000,0.000,0.000,1.9E-4,2.7E+2,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,Ext_CTRL
 81 ,07-01-2019,19:41:21,26.2,0.0,59.8,86.0,60.0,2.0,8.01836,P4,0.000,0.412,-0.107,0.000,0.000,1.9E-4,2.7E+2,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,Ext_CTRL
 82 ,07-01-2019,19:41:51,25.8,0.0,59.8,86.1,60.0,2.0,8.01835,P4,0.000,0.412,0.000,0.000,0.000,1.9E-4,2.7E+2,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,Ext_CTRL
 83 ,07-01-2019,19:42:21,25.8,0.0,59.8,86.1,60.0,2.0,8.01832,P4,0.000,0.000,0.000,0.000,0.000,1.9E-4,2.7E+2,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,Ext_CTRL
