Time ADSA [s],Time Gravimetry [s],CO2 Density [g/mL],Sample Density [g/mL],Interfacial Tension [mN/m],,,,,,,,,,,,,
87900.0333,457980,0.187178976,0.95603602,10.41,,,,,,,,,,,,,
88200.0333,458340,0.187178976,0.95603602,10.42,,,,,,,,,,,,,
88500.0333,458640,0.187178976,0.95603602,10.42,,,,,,,,,,,,,
88800.0333,458880,0.187178976,0.95603602,10.41,,,,,,,,,,,,,
89100.0333,459240,0.187133492,0.95603602,10.43,,,,,,,,,,,,,
89400.0333,459480,0.187115668,0.95603602,10.42,,,,,,,,,,,,,
89700.0333,459780,0.187115668,0.95603602,10.42,,,,,,,,,,,,,
90000.0333,460140,0.187144952,0.95603602,10.41,,,,,,,,,,,,,
90300.0333,460380,0.187147318,0.95603602,10.38,,,,,,,,,,,,,
90600.0333,460740,0.187147318,0.95603602,10.46,,,,,,,,,,,,,
90900.0333,461040,0.187147318,0.95603602,10.42,,,,,,,,,,,,,
91200.0333,461280,0.187147318,0.95603602,10.4,,,,,,,,,,,,,
91500.0333,461640,0.187147318,0.95603602,10.41,,,,,,,,,,,,,
91800.0333,461880,0.187136589,0.95603602,10.41,,,,,,,,,,,,,
92100.0333,462180,0.187116634,0.95603602,10.4,,,,,,,,,,,,,
92400.0333,462540,0.187115668,0.95603602,10.42,,,,,,,,,,,,,
92700.0333,462780,0.187115668,0.95603602,10.39,,,,,,,,,,,,,
93000.0333,463140,0.187115668,0.95603602,10.42,,,,,,,,,,,,,
93300.0333,463440,0.187115668,0.95603602,10.43,,,,,,,,,,,,,
93600.0333,463680,0.187115668,0.95603602,10.43,,,,,,,,,,,,,
93900.0333,464040,0.187115668,0.95603602,10.42,,,,,,,,,,,,,
94200.0333,464280,0.187115668,0.95603602,10.43,,,,,,,,,,,,,
94500.0333,464580,0.187115668,0.95603602,10.39,,,,,,,,,,,,,
94800.0333,464940,0.187115668,0.95603602,10.4,,,,,,,,,,,,,
95100.0333,465180,0.187115668,0.95603602,10.43,,,,,,,,,,,,,
95400.0333,465540,0.187115668,0.95603602,10.42,,,,,,,,,,,,,
95700.0333,465840,0.187115668,0.95603602,10.43,,,,,,,,,,,,,
96000.0333,466080,0.187115668,0.95603602,10.43,,,,,,,,,,,,,
96300.0333,466440,0.18709388,0.95603602,10.41,,,,,,,,,,,,,
96600.0333,466680,0.18708402,0.95603602,10.42,,,,,,,,,,,,,
96900.0333,466980,0.18708402,0.95603602,10.44,,,,,,,,,,,,,
97200.0333,467340,0.18708402,0.95603602,10.41,,,,,,,,,,,,,
97500.0333,467580,0.18708402,0.95603602,10.43,,,,,,,,,,,,,
